City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,lethem,3.3803,-59.7968,25.47,75,3,2.77,GY,1698225817
169,manado,1.487,124.8455,29.43,79,40,0.51,ID,1698225817
170,newman,37.3138,-121.0208,15.03,84,10,1.79,US,1698225818
171,iqaluit,63.7506,-68.5145,-2.15,79,75,3.6,CA,1698225819
172,brajarajnagar,21.8167,83.9167,32.05,40,20,1.54,IN,1698225819
173,new richmond,45.123,-92.5366,11.71,99,100,2.57,US,1698225576
174,tual,-5.6667,132.75,27.53,73,51,4.07,ID,1698225820
175,tiksi,71.6872,128.8694,-19.24,99,20,3.74,RU,1698225821
176,acarau,-2.8856,-40.12,24.3,85,88,3.87,BR,1698225821
177,al mindak,20.1588,41.2834,23.78,27,9,5.08,SA,1698225822
178,zhigalovo,54.8097,105.1578,0.52,46,93,1.44,RU,1698225822
179,ulladulla,-35.35,150.4667,15.43,71,100,4.55,AU,1698225823
180,kingston,17.997,-76.7936,25.13,97,69,1.69,JM,1698225261
181,puerto baquerizo moreno,-0.9,-89.6,23.67,84,79,4.31,EC,1698225824
182,hawaiian paradise park,19.5933,-154.9731,24.46,95,100,0.0,US,1698225824
183,mulayjah,27.271,48.4242,32.54,30,0,2.52,SA,1698225825
184,searcy,35.2506,-91.7363,20.08,73,0,3.09,US,1698225825
185,riberalta,-10.9833,-66.1,24.84,80,96,1.08,BO,1698225826
186,talakan,50.3167,130.3667,5.08,67,74,2.24,RU,1698225827
187,el progreso,15.4,-87.8,25.34,94,40,0.0,HN,1698225827
188,tolanaro,-25.0319,46.9987,29.04,74,40,5.14,MG,1698225828
189,belvedere marittimo,39.6179,15.8617,25.06,83,100,3.66,IT,1698225828
190,fort bragg,35.139,-79.006,11.57,93,0,0.0,US,1698225829
191,port lincoln,-34.7333,135.8667,11.67,50,18,8.74,AU,1698225830
192,juan l. lacaze,-34.4333,-57.4167,10.1,72,10,6.47,UY,1698225830
193,fisterra,42.9049,-9.2629,17.64,89,100,10.31,ES,1698225831
194,adrar,20.5022,-10.0711,29.21,27,15,4.2,MR,1698225831
195,mombetsu,44.3525,143.3525,11.04,78,2,2.64,JP,1698225832
196,callao,-12.0667,-77.15,19.84,88,100,2.06,PE,1698225365
197,mahwah,27.05,76.9333,32.42,20,0,4.32,IN,1698225833
198,salalah,17.0151,54.0924,29.05,79,40,5.14,OM,1698225834
199,fort-shevchenko,44.5086,50.263,13.21,63,99,2.16,KZ,1698225834
200,antonio enes,-16.2325,39.9086,32.87,46,0,6.72,MZ,1698225835
201,beloyarskiy,63.7119,66.6722,-2.22,83,100,1.34,RU,1698225835
202,yemetsk,63.4721,41.7941,0.81,70,63,1.95,RU,1698225836
203,seydi,39.4816,62.9137,26.69,21,100,3.95,TM,1698225836
204,palmer,42.1584,-72.3287,11.72,83,100,1.54,US,1698225837
205,q'vareli,41.9549,45.8172,18.85,57,72,0.48,GE,1698225837
206,mitu,1.1983,-70.1733,22.5,99,100,0.61,CO,1698225689
207,iranshahr,27.2025,60.6848,34.19,24,0,3.09,IR,1698225839
208,kone,-21.0595,164.8658,22.28,85,99,2.65,NC,1698225839
209,shendi,16.6915,33.4341,37.32,19,7,2.31,SD,1698225840
210,rio grande,-32.035,-52.0986,14.97,81,89,5.87,BR,1698225578
